我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　当所有人都觉得房价还要涨，而且不可能坑爹时，大家就等着坑爹坑爷吧，搞不好坑到原始祖先都可以！举报|2423楼|打赏|回复|评论|赞
　　有一点可以确信，对于开征房产税，国家肯定没意见。　　　　虽说愚蠢地傻空天天吵着让官老爷们加税，只是这税，连国家都收得有点不好意思。纵观全球，没有一个国家会对房产收如此多税，　　　　土地拍卖的，等于70年的房产税一起收了，让子弹飞里不是有句台词吧，上任官老爷已把后面90年的税都收了，就是这个意思。所以，在我们这个地球上，凡是国家拍卖土地的，那是不收房产税的，要收税，仅会对出租房的租金收税。凡是国家不拍卖不土地的，则地价低，楼价低，国家必收房产税。　　　　从来没听说过，既要拍卖土地，价高者得，还要再收房产税。而更搞笑的是，居然有P民跪求官老爷加税。　　　　傻们要想想呀，如果土地不拍卖，不是价高者得，而是纯市场化运作，开发商可以直接从农民那里购地，土地供给会有多少？那才几个钱？楼价必低，国家才会收房产税。　　　　如果中国土地不拍卖而改收房产税的，那么，现在的地价应只是个零头，楼价自然会低许多，只是因为有房产税，人民供楼的负担与现在相比是差不多的，买得起楼的，照样买，买不起的，同样干瞪眼。　　举报|2424楼|打赏|回复|评论|赞
　　原来精品文章都认为房价不会降呀，有道理举报|2425楼|打赏|回复|评论|赞
　　哈哈，原来这么多人怕房产税啊，你们不是说房价不敢降么？玩够了穷人开始玩你们这些中产。涨房租，自己骗自己的吧，工资就那点，房租一涨回家种地，就是不卖粮~~有房的看没房子的笑话，你们自己心里就不愧疚了么？还说一直说傻空，现在论到自己了，开骂吧，搂着房子哭去吧举报|2426楼|打赏|回复|评论|赞
　　开房产税还有一批赢得人就是小产权房的人小产权房也是天量得国家不会让其逃税转正成为可能举报|2427楼|打赏|回复|评论|赞
　　现在开个店也要交房产税，税率太高了，80万的店面，要按1.2%交税，那就是每年要交8000啊，开店又要付租金，还有国税地税，再加上房产税，叫老百姓怎么生存，还是抢银行算了！！举报|2428楼|打赏|回复|评论|赞
　　土地出让金要是全部用来建立廉租房，那全国大多数人都能住上廉租房了吧？　　为什么没建呢？举报|2429楼|打赏|回复|评论|赞
　　点击率低一点，再低一点！　　　　呵呵！　　　　我的故事非一般！　　　　后面会从一件平常的家事中，慢慢平静地带大家进入到物欲横流的现今社会，再进入到西方的所谓的普世价值观，再看看我们的老祖宗留下的传承是可以怎样的拨乱反正！形成中华当下最需要之信仰！　　　　信仰一旦回归，能传播10至20年，中华民族的智慧与力量将会无敌于世界。因为我们的道德传统中的“仁者无敌”，在很快的未来，会给大家一种全新的【道德价值仁者观】和仁者学。　　　　看笔者在未来的帖子中的深度剖析，怎样让冰山的底部浮现于天崖。　　　　相信在未来，中华巨人的身影必将崛起自东方，鹤立于世界。　　　　望支持，请传播！http://www.tianya.cn/publicforum/content/house/1/327163.shtml#Bottom　　　　　　　　同样，　　　　就【道德价值仁者观】，集思广益，欢迎高人出手顶贴。　　　　更就【仁者学】设立　　　　1、传统仁者学；　　　　2、仁政篇；　　　　3、仁商篇；　　　　4、仁文化；　　　　5、仁义教育；　　　　------等等的主题，请网友能出手提供写作材料，别让偶独为天下先了。　　　　　　　　发展经济、民生已经借鉴了西方的百年路。再思想、思维全盘西化，接受西方的所谓普世价值观的话。神州浩土在不久的将来，可能难避免病以入骨之无药可医地步。　　　　　　　　集思广益、集思广益、集思广益！　　　　今日之国人，有多少看了【2011开学第一课】中8岁小女孩，十二年如一日的侍奉瘫痪养母；又有多少国人看了【80岁两老靠上山拾柴供孙子上学】的民间疾苦！　　　　醒醒吧，阿Q而自私的某些国人、富豪、利益集团（官、商、舆、学、黑）！------　　　　　　　　社会并不是这样才可以推动进步的，高人自在民间，在天涯。　　　　　　　　集思广益、集思广益中！请拍砖砸玉！再请拍砖砸玉！再三请拍砖砸玉！　　　　热盼天涯这座桥，能是一座改变中华及世界的桥！　　　　　　　　更盼天涯这座桥，能在改变世界之前改变现今中华之格局！　　　　举报|2430楼|打赏|回复|评论|赞
　　海盗论贱貌似不是中国人，不懂中国国情。无偿献血是好事，在中国呢？红十字会是个多么神圣的组织，在中国呢？医生教师是个多么神圣的职业，在中国呢？不否认在外国有些人是愿意交税的，因为那真是取之于民用之于民的。任何事情不是放任四海皆真理的来自天涯社区客户端|举报|2431楼|打赏|回复|评论|赞
　　苛政猛于虎也举报|2432楼|打赏|回复|评论|赞
　　看了真悲哀，真的有人会说加税好。他们认为房产税是加给富人的，思想太简单了。也不想多说，有些人也许永远教不会。　　　　就说汽车燃油税好了。私家车是交税了，出租车也交税了，然后车费涨价了，公共汽车涨价了，快递也涨价了，最后东西涨价了，什么东西都涨价了。最后倒霉的不是老百姓？举报|2433楼|打赏|回复|评论|赞
　　@中年不惑吗2010-12-08　10:29:47　　　　支持收税的是一群没有脑子的人　　　　　　　　同理60年前支持分别人财产的人到后面还不是一无所有　　　　　　　　无论多空......　　-----------------------------　　现在已经有的存量房干什么去了？　　房产税的作用是遏制炒房，遏制空置房坐等升值。　　把大量的存量房推入卖方市场和出租市场，供应量增加了，还会涨价？举报|2434楼|打赏|回复|评论|赞
　　支持房产税举报|2435楼|打赏|回复|评论|赞
　　这个房产税跟当初制定非普通住宅很象。　　上海内环超过245万就是非普通住宅，地方上出台这个政策时还表示，会根据房价的升降变动245万这个标准。结果呢，现在几乎内环所有的房子都成了非普通住宅（哥一不小心也被住上了豪宅），购买非普通住宅纳税很高，这个才是制定规则者的目的。　　国内类似的燃油税、个税等都是类似的例子，打着民生的口号，与民争利。　　现在上海房产税免征面积60平方，以后呢，一个人住超过60平方的房子怎么办。zhengfu一直在说完善房产信息，目的是什么？羊毛出在养身上，多套房的势必会将一部分房产税转移到房租上，不论有房还是没有房（露宿除外），最终都是受害方。　　另外，上海出台房产税没有说过是要降房价，而是说增加地方财政收入的一种手段。根本就没有打着民生的口号，多么的坦白啊，赤裸裸的告诉屁民，老子就是缺钱，所以收税。举报|2436楼|打赏|回复|评论|赞
　　@中年不惑吗2010-12-08　10:29:47　　支持收税的是一群没有脑子的人　　同理60年前支持分别人财产的人到后面还不是一无所有　　无论多空......　　-----------------------------　　@wxwxyty2011-09-02　10:23:08　　现在已经有的存量房干什么去了？　　房产税的作用是遏制炒房，遏制空置房坐等升值。　　把大量的存量房推入卖方市场和出租市场，供应量增加了，还会涨价？　　-----------------------------　　供应量增加了吗？不论有无增加，事实是今年房租大幅上涨了举报|2437楼|打赏|回复|评论|赞
　　我没房，但是我严重反对房产税！举报|2438楼|打赏|回复|评论|赞
　　美国的富翁都主动要求多上税，难道他们都是傻瓜不成，举报|2439楼|打赏|回复|评论|赞
　　征收对象　　　　本市居民家庭（包括夫妻双方及其未成年子女）在本市新购且属于该居民家庭第二套及以上的住房和非本市居民家庭在本市新购的住房。　　　　新购住房的购房时间，以购房合同网上备案的日期为准。　　　　计税依据和适应税率　　　　暂以应税住房的市场交易价格作为计税依据，按应税住房市场交易价格的70%计算缴纳。　　　　适用税率分两档：0.6%和0.4%。一般情况下为0.6%，应税住房每平方米市场交易价格低于本市上年度新建商品住房平均销售价格2倍的，税率为0.4%。　　　　按年计征，不足一年的按月计算。　　　　年应纳房产税税额=新购住房应征税的面积?新购住房单价?税率　　　　　　　　　　按这个标准，房产税杀的就是空军…………外来户新买房要交税。　　每年0.42%如果是房价200万，每年要交8400的税。　　每个月700。　　举报|2440楼|打赏|回复|评论|赞
